id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
ronin,0.529586,335142811,-2.2273,4.45,0.196601,05-05-2025  18-31-50
usdd,0.999992,334038235,-0.00074,1.052,0.928067,05-05-2025  18-31-50
cgeth-hashkey-cloud,1833.85,326888830,-2.52172,3129.19,1430.7,05-05-2025  18-31-50
trust-wallet-token,0.784363,326868367,-0.62577,2.72,0.00277641,05-05-2025  18-31-50
terra-luna,5.98e-05,325170429,0.86115,119.18,9.99967e-07,05-05-2025  18-31-50
binance-peg-busd,1.001,323730602,0.13256,1.064,0.954278,05-05-2025  18-31-50
frax,0.999879,317245446,0.0007,1.14,0.874536,05-05-2025  18-31-50
ripple-usd,0.999658,316984388,0.11323,1.073,0.962292,05-05-2025  18-31-50
cheems-token,1.54e-06,314661365,1.37466,2.16e-06,5.725e-09,05-05-2025  18-31-50
superfarm,0.695418,314553858,2.12612,4.74,0.070397,05-05-2025  18-31-50
wrapped-hype,20.67,307700792,0.80356,25.53,9.43,05-05-2025  18-31-50
ai16z,0.27866,306445922,12.97032,2.47,0.010189,05-05-2025  18-31-50
creditcoin-2,0.680145,305609359,-0.60237,8.67,0.128298,05-05-2025  18-31-50
polygon-bridged-wbtc-polygon-pos,94582.0,303488003,-1.1319,108124.0,49937.0,05-05-2025  18-31-50
ket,0.290045,292694040,-1.62454,0.530549,0.0085598,05-05-2025  18-31-50
stakestone-berachain-vault-token,1811.71,292002658,-1.10391,3453.2,1373.59,05-05-2025  18-31-50
gnosis,110.39,286172151,-0.54956,644.2,6.88,05-05-2025  18-31-50
layerzero,2.53,280809278,2.38645,7.47,1.51,05-05-2025  18-31-50
dog-go-to-the-moon-rune,0.0028052,280765454,3.86013,0.0099237,0.00100496,05-05-2025  18-31-50
mina-protocol,0.22823,280632676,1.60283,9.09,0.18424,05-05-2025  18-31-50
quorium,3332.39,279920934,2.79375,14721.58,1170.65,05-05-2025  18-31-50
wrapped-avax,19.98,277916077,-0.77987,2000.68,7.91,05-05-2025  18-31-50
ether-fi-staked-btc,94692.0,275394536,-0.86737,109069.0,58795.0,05-05-2025  18-31-50
venom,0.132434,274410779,-2.60483,0.782403,0.03459851,05-05-2025  18-31-50
resolv-usr,0.999244,272523035,-0.08563,1.022,0.959194,05-05-2025  18-31-50
dash,22.03,269890842,0.15398,1493.59,0.213899,05-05-2025  18-31-50
1inch,0.194789,269889784,-0.95569,8.65,0.149574,05-05-2025  18-31-50
stader-ethx,1935.83,265885107,-0.64505,4275.3,1474.49,05-05-2025  18-31-50
mx-token,2.82,265364900,-0.11809,5.85,0.04218457,05-05-2025  18-31-50
golem,0.264595,264599195,1.01151,1.32,0.00913753,05-05-2025  18-31-50
safepal,0.524591,262333128,1.21346,4.19,0.269235,05-05-2025  18-31-50
safe,0.447811,259812475,0.75336,3.56,0.356678,05-05-2025  18-31-50
syrupusdc,1.098,257665124,0.11766,1.099,1.07,05-05-2025  18-31-50
aethir,0.02961363,251170500,-0.36982,0.118536,0.02439678,05-05-2025  18-31-50
honey-3,0.999528,249573799,0.04577,1.11,0.916153,05-05-2025  18-31-50
theta-fuel,0.03595798,249090493,-2.35583,0.68159,0.00090804,05-05-2025  18-31-50
coinbase-wrapped-staked-eth,2004.89,247540121,-0.51842,4434.57,1036.96,05-05-2025  18-31-50
compound-wrapped-btc,1901.38,245518094,-0.98298,2187.46,91.15,05-05-2025  18-31-50
convex-finance,2.98,244313879,-2.25547,60.09,1.44,05-05-2025  18-31-50
cat-in-a-dogs-world,0.00275025,244261179,0.16675,0.01288153,0.00091206,05-05-2025  18-31-50
global-dollar,0.999705,242469927,0.04168,1.65,0.907561,05-05-2025  18-31-50
btse-token,1.5,242432724,2.24582,9.21,0.369569,05-05-2025  18-31-50
gho,0.999398,242361636,-0.02452,1.03,0.917065,05-05-2025  18-31-50
kusama,14.7,241938552,0.01229,621.71,0.876572,05-05-2025  18-31-50
sweth,1989.03,241225363,-0.49213,4395.57,1516.13,05-05-2025  18-31-50
snek,0.00322962,240498056,-5.49842,0.00895508,0.00013847,05-05-2025  18-31-50
abtc,94487.0,237977859,-1.29611,108378.0,60786.0,05-05-2025  18-31-50
polygon-pos-bridged-weth-polygon-pos,1826.25,237490160,-0.47639,4090.99,1390.73,05-05-2025  18-31-50
zilliqa,0.01203101,234180456,-1.13281,0.255376,0.00239616,05-05-2025  18-31-50
euro-coin,1.13,233691389,0.21529,1.35,0.052848,05-05-2025  18-31-50
