id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
thorchain,1.26,444424412,-4.23878,20.87,0.00851264,05-05-2025
tbtc,94270.0,439589218,-1.06599,108501.0,10104.3,05-05-2025
ecash,2.164e-05,429789344,1.54419,0.00038001,1.604e-05,05-05-2025
movement,0.168793,421688234,0.38259,1.45,0.166906,05-05-2025
starknet,0.135626,421171506,2.77685,4.41,0.11,05-05-2025
apenft,4.19053e-07,414977152,0.26084,7.53e-06,2.98737e-07,05-05-2025
l2-standard-bridged-weth-base,1824.55,414269688,-0.69047,4096.05,1394.17,05-05-2025
hashnote-usyc,1.085,407257710,0.00993,1.12,1.026,05-05-2025
usdb,1.001,406508631,0.04857,1.088,0.882623,05-05-2025
neo,5.72,403043336,-0.79865,198.38,0.078349,05-05-2025
apecoin,0.496902,397043982,-0.33128,26.7,0.354833,05-05-2025
super-oeth,1823.65,394536191,-0.76034,4099.87,1312.97,05-05-2025
beam-2,0.00751861,393955885,4.41041,0.04416304,0.0043383,05-05-2025
grass,1.43,392480617,-4.11145,3.89,0.654959,05-05-2025
mantle-restaked-eth,1941.76,390743732,-0.90624,4298.87,1480.7,05-05-2025
akash-network,1.56,387232728,8.87279,8.07,0.164994,05-05-2025
matic-network,0.233507,382403910,1.48154,2.92,0.00314376,05-05-2025
axie-infinity,2.36,379589466,-0.76911,164.9,0.123718,05-05-2025
mantra-dao,0.395472,379332520,-5.34974,8.99,0.01726188,05-05-2025
chiliz,0.03958461,378852452,-0.08784,0.878633,0.00410887,05-05-2025
turbo,0.00546776,377530989,14.08902,0.01431669,6.518e-05,05-05-2025
arbitrum-bridged-weth-arbitrum-one,1824.18,376089053,-0.68805,4097.16,1395.31,05-05-2025
popcat,0.381885,373674256,5.2851,2.05,0.00379728,05-05-2025
conflux-token,0.072825,373672661,-0.49872,1.7,0.02199898,05-05-2025
morpho,1.38,365005788,4.19949,4.17,0.713151,05-05-2025
wormhole,0.079589,363134799,0.56077,1.66,0.065244,05-05-2025
compound-governance-token,40.03,359234292,0.81646,910.54,25.74,05-05-2025
mimblewimblecoin,32.46,356533574,0.80167,38.81,0.298733,05-05-2025
olympus,21.74,355981646,-0.78943,1415.26,7.54,05-05-2025
ether-fi-staked-eth,1816.89,354101019,-1.04258,5307.23,1394.71,05-05-2025
berachain-bera,2.97,353684976,-0.13783,14.83,2.82,05-05-2025
just,0.03562599,352712533,-1.35201,0.193254,0.00476275,05-05-2025
mantle-bridged-usdt-mantle,1.0,352118854,-0.15915,1.26,0.869914,05-05-2025
plume,0.175226,350528712,1.17658,0.247537,0.084391,05-05-2025
sun-token,0.01800152,346435270,-0.04545,66.45,0.00462303,05-05-2025
saros-finance,0.131456,345072076,-0.71701,0.167611,0.00101093,05-05-2025
amp-token,0.0040498,341125556,2.09899,0.120813,0.00140933,05-05-2025
axelar,0.356873,336731777,-1.72605,2.64,0.274681,05-05-2025
ronin,0.529147,334675465,-2.35535,4.45,0.196601,05-05-2025
usdd,0.999958,334058897,-0.03352,1.052,0.928067,05-05-2025
cgeth-hashkey-cloud,1859.41,331399403,-1.28165,3129.19,1430.7,05-05-2025
trust-wallet-token,0.784685,326913432,-0.44485,2.72,0.00277641,05-05-2025
terra-luna,5.972e-05,324645544,0.67085,119.18,9.99967e-07,05-05-2025
binance-peg-busd,0.998826,322946873,-0.05795,1.064,0.954278,05-05-2025
frax,0.999889,317276360,-0.00633,1.14,0.874536,05-05-2025
ripple-usd,0.999828,317038115,0.01298,1.073,0.962292,05-05-2025
cheems-token,1.54e-06,314478909,1.11278,2.16e-06,5.725e-09,05-05-2025
superfarm,0.696169,314444545,2.29549,4.74,0.070397,05-05-2025
wrapped-hype,20.65,308211054,0.68093,25.53,9.43,05-05-2025
creditcoin-2,0.680013,305742490,-0.4139,8.67,0.128298,05-05-2025
polygon-bridged-wbtc-polygon-pos,94738.0,303895016,-1.06237,108124.0,49937.0,05-05-2025
ai16z,0.278742,303099394,14.55201,2.47,0.010189,05-05-2025
stakestone-berachain-vault-token,1811.48,293063708,-1.11433,3453.2,1373.59,05-05-2025
ket,0.29051,290522306,-2.47694,0.530549,0.0085598,05-05-2025
gnosis,110.36,285701130,-0.60526,644.2,6.88,05-05-2025
dog-go-to-the-moon-rune,0.00280913,280858644,3.93057,0.0099237,0.00100496,05-05-2025
